Symbol	Description
49B	Amos Group
500	Tai Sin Electric Limited
502	Hsr Global Limited
504	Klw Holdings Ltd
505	Asiamedic Limited
508	Fuji Offset Plates Mfg Ltd
510	Hiap Seng Engineering Ltd
528	Second Chance Properties Ltd
532	DISA
533	Abr Holdings Limited
53JW	Ocbc Bk Mb Epw220701
540	Tung Lok Restaurants 2000 Ltd
541	Craft Print International Ltd
543	Noel Gifts International Ltd
544	Cse Global Ltd
546	Medtecs International Corp Ltd
554	King Wan Corporation Limited
558	Ums Holdings Limited
564	Spindex Industries Limited
566	See Hup Seng Limited
567	Colex Holdings Limited
569	Vicplas International Ltd
570	Transit-mixed Concrete Ltd
573	Challenger Technologies Ltd
575	Asti Holdings Limited
578	Ks Energy Limited
579	Oceanus Group Limited
57CW	Dbs Mb Ecw220328
580	Santak Holdings Limited
581	Ite Electric Co Ltd
583	Progen Holdings Ltd
584	Oakwell Engineering Limited
585	Asian Micro Holdings Ltd
586	Tmc Education Corporation Ltd
58YW	Geely Mb Ecw220404
594	Loyz Energy Limited
595	Van Der Horst Energy Limited
596	Thai Village Holdings Ltd
5A1B	Astrea V3.85%b290620#
5AB	Trek 2000 Int'l Ltd
5AE	Pollux Properties Ltd.
5AI	Sunlight Group Hldg Ltd
5AL	Annica Holdings Limited
5AM	Asiatravel.com Holdings Ltd
5AU	Ap Oil International Limited
5BI	Carriernet Global Ltd
5BS	Pne Micron Holdings Ltd
5CF	Okp Holdings Limited
5CP	Silverlake Axis Ltd
5CR	Asiatic Group (holdings) Ltd
5CT	Ecowise Holdings Limited
5DD	Micro-mechanics (holdings) Ltd
5DM	Ying Li Intl Real Estate Ltd
5DN	Ezra Holdings Limited
5DO	Sakae Holdings Ltd.
5DP	Heeton Holdings Limited
5DS	Megachem Limited
5DX	Metal Component Engg Ltd
5EB	Cfm Holdings Limited
5EC	ISR Capital
5EF	Adventus Holdings Limited
5EG	New Lakeside Holdings Limited
5EK	Armarda Group Limited
5EL	Lasseters Intl Holdings Ltd
5EN	Midas Hldgs Limited
5EV	Hosen Group Ltd
5EW	Pan Asian Holdings Limited
5F4	Figtree Holdings Limited
5F7	Hartawan Hldgs Ltd
5FL	Falcon Energy Group Limited
5FW	Linair Technologies Limited
5FX	New Wave Holdings Ltd.
5G1	Eurosports Global Limited
5G2	Kimheng Offshore&marine Hldltd
5G3	Talkmed Group Limited
5G4	Infinio Group Limited
5G9	Tritech Group Limited
5GD	Sunpower Group Ltd.
5GF	Nico Steel Holdings Limited
5GI	Interra Resources Limited
5GJ	Ausgroup Limited
5GZ	Aa Group Holdings Ltd.
5H0	Singhaiyi Group Ltd.
5HC	Ntegrator International Ltd
5HG	Oniontech Limited
5HH	Hln Technologies Limited
5HT	Communication Design Intl Ltd
5HV	Metax Engineering Corp Limited
5I0	Qt Vascular Ltd.
5I1	Kop Limited
5I4	Icp Ltd
5IC	Sing Holdings Limited
5IE	Lorenzo International Limited
5IF	Natural Cool Holdings Limited
5IG	Gallant Venture Ltd.
5JK	Hiap Hoe Limited
5JS	Indofood Agri Resources Ltd.
5KI	Soup Restaurant Group Limited
5LE	Sitra Holdings (intl) Limited
5LY	Marco Polo Marine Ltd.
5MD	Soon Lian Holdings Limited
5ME	Ezion Holdings Limited
5ML	Old Chang Kee Ltd.
5MM	Sky One Holdings Limited
5MQ	Epicentre Holdings Limited
5MZ	Kingsmen Creatives Ltd
5NF	Mencast Holdings Ltd.
5NG	Healthway Medical Corp Ltd
5NV	Chasen Holdings Limited
5OC	Koyo International Limited
5OI	Japan Foods Holding Ltd.
5OQ	Teho International Inc Ltd.
5OR	Heatec Jietong Holdings Ltd.
5OT	Singapore Medical Group Ltd
5OU	China Environment Ltd.
5OX	Mary Chia Holdings Limited
5PC	Goodland Group Limited
5PD	Hengyang Petrochem Log Limited
5PF	Jason Marine Group Limited
5PL	Sbi Offshore Limited
5PO	Hiap Tong Corporation Ltd.
5QR	Mann Seng Metal Intl Limited
5QT	Charisma Energy
5QY	Net Pacific Fin Hldgs Ltd
5RA	Asia-pacific Strategic Inv Ltd
5RC	Es Group (holdings) Limited
5RE	Smartflex Holdings Ltd
5RF	Friven & Co. Ltd.
5SO	Duty Free Internationallimited
5SR	Zhongmin Baihui Retail Grp Ltd
5SY	Chew's Group Limited
5TI	Kitchen Culture Holdings Ltd.
5TJ	Far East Group Limited
5TN	Iev Holdings Limited
5TP	Cnmc Goldmine Holdings Limited
5TR	Libra Group Limited
5TT	Keong Hong Holdings Limited
5TW	Chaswood Resources Hldgs Ltd.
5TY	Advanced Systems Automation
5UA	Starland Holdings Limited
5UF	Maxi-cash Fin Svcs Corp Ltd
5UL	Atlantic Navigation Hldg(s)ltd
5UN	Sincap Group Limited
5UO	Sysma Holdings Limited
5UX	Oxley Holdings Limited
5VC	Kori Holdings Limited
5VI	Logistics Holdings Limited
5VJ	Halcyon Agri Corporation Ltd
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5WA	Intl Healthway Corp Limited
5WE	Moya Holdings Asia Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WV	Asiaphos Limited
5YCW	Yzj 5xshortsg231115
600	Hyflux Ltd
6AZB	Astrea Vi3%b310318#
7PMS	Ny07100x 220901
7QQS	Nz07100s 270301
8A1	Forise Int
8AZ	Aztech Gbl
8H5W	Sands Mb Ecw220705
8K7	Ughealthcare
8Q1W	Galaxy Mb Epw220705
8X0W	Hsi 26000mbecw220128
8YLS	Nz19100s 390701
8YMW	A-sonic Aero W220408^
8YY	Biolidics Limited
90QW	Dbs Mb Epw220214
93IW	Hsi 25000mbepw220128
971W	Hsi 26400mbecw220629
98SW	S&p 3800mbepw220318
9A3W	Comfortdel Mbecw221014
9BXW	Alibaba Mb Ecw220705
9CI	Capitalandinvest
9F4W	Uob Mb Ecw221028
9LUW	Nky 25000mbepw220610
9RMW	Uob Mb Ecw220627
9SNW	Dbs Mb Epw220701
9TZW	Hsi 24400mbecw220330
9ZVW	Dbs Mb Ecw220627
A04	Asl Marine Holdings Ltd
A05	Avjennings Limited
A13	Allied Technologies Limited
A17U	Ascendas Real Estate Inv Trust
A26	Sinarmas Land Limited
A30	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A50	Rowsley Ltd.
A52	Annaik Limited
A55	Asia Enterprises Holding Ltd
A75	Ace Achieve Infocom Limited
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
AAJ	Sunmoon Food Company Limited
ACV	Frasers Hospitality Trust
ADJ	Ols Enterprise Ltd.
ADN	First Sponsor Group Limited
ADP	Swissco Holdings Limited
AFC	Yuuzoo Corporation
AFUS	Nx15100z 250601
AGS	The Hour Glass Limited
AIY	Ifast Corporation Ltd.
AJ2	Ouhua Energy Holdings Limited
AJBU	Keppel Dc Reit
AOF	Amplefield Limited
AP4	Riverstone Holdings Limited
AU8U	Capitaretail China Trust
AUE	United Fiber System Limited
AVM	Boustead Projects Limited
AVX	Hl Global Enterprises Limited
AW9U	First Real Estate Inv Trust
AWC	Lindeteves-jacoberg Ltd
AWE	Sp Corporation Limited
AWG	Aei Corporation Ltd
AWI	Thakral Corporation Ltd
AWK	Fuxing China Group Limited
AWM	Shanghai Turbo Enterprises Ltd
AWS	Global Yellow Pages Limited
AWV	Captii Limited
AWX	Aem Holdings Ltd
AWZ	Multi-chem Limited
AXB	Yongnam Holdings Limited
AXXZ	Fcl Trea S$500m3.65%b220522
AYD	Plastoform Holdings Limited
AYN	Global Testing Corporation Ltd
AYV	Acma Ltd.
AZA	Ipc Corporation Limited
AZG	8telecom Intl Holdings Co Ltd
AZR	United Food Holdings Limited
AZT	Lottvision Limited
"AZY	Pan Ocean Co., Ltd."
B0Z	China Fishery Group Limited
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B9S	Cosmosteel Holdings Limited
BAC	Jacks International Limited
BAI	S I2i Limited
BAZ	Lion Asiapac Ltd
BBP	Hor Kew Corporation Limited
BBW	Azeus Systems Holdings Ltd.
BCD	China Yuanbang Prop Hldgs Ltd
BCV	Qian Hu Corporation Limited
BCY	Powermatic Data Systems Ltd
BCZ	Travelite Holdings Ltd.
BDA	Pne Industries Ltd
BDF	Excelpoint Technology Ltd
BDN	Ryobi Kiso Holdings Ltd.
BDR	Willas-array Elec (hldgs) Ltd
BDU	Federal Int(2000) Ltd
BDX	Gsh Corporation Limited
BEC	Brc Asia Limited
BEH	China International Hldgs Ltd
BEI	Lht Holdings Limited
BEV	Swing Media Technology Grp Ltd
BEW	Jb Foods Limited
BEZ	Beng Kuang Marine Limited
BFI	Tiong Seng Holdings Limited
BFK	Pharmesis International Ltd.
BFT	Fabchem China Limited
BFU	Tye Soon Ltd
BGK	Swiber Holdings Limited
BGO	Universal Resource & Svcs Ltd
BHD	China Mining International Ltd
BHK	Siic Environment Holdings Ltd.
BHU	Sutl Enterprise Limited
BIP	Vibrant Group Limited
BIX	Ellipsiz Ltd
BJD	Vibropower Corporation Limited
BJGS	Na16100h 460301
BJHS	Nx16100f 260601
BJIS	Nz16100x 360801
BJV	Yamada Green Resources Limited
BJW	Shinvest Holding Ltd.
BJZ	Koda Ltd
BKA	Sin Heng Heavy Machinery Ltd
BKK	Luxking Group Holdings Limited
BKV	Dukang Distillers Hldgs Ltd
BKW	Datapulse Technology Limited
BKX	Yongmao Holdings Limited
BKZ	Suntar Eco-city Limited
BLA	Union Steel Holdings Limited
BLH	Hai Leck Holdings Limited
BLR	Darco Water Technologies Ltd
BLS	Hotung Investment Hldgs Ltd
BLU	Grp Ltd
BLW	Global Palm Resources Hlgs Ltd
BLZ	Advanced Holdings Ltd.
BMGU	Bhg Retail Reit
BMT	New Silkroutes Group Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BNE	Kencana Agri Limited
BOU	Informatics Education Ltd.
BPF	Yhi International Limited
BQC	Xpress Holdings Ltd
BQD	Envictus International Hldgltd
BQF	Xmh Holdings Ltd.
BQM	Tiong Woon Corp Holding Ltd
BQN	Bh Global Corporation Limited
BQP	Southern Packaging Group Ltd
BRD	Sapphire Corporation Limited
BRS	Usp Group Limited
BS6	Yangzijiang Shipbldg Hldgs Ltd
BSL	Raffles Medical Group Ltd
BTE	Bund Center Investment Ltd
BTF	Debao Property Development Ltd
BTG	Hg Metal Manufacturing Ltd
BTJ	A-sonic Aerospace Limited
BTM	Penguin International Limited
BTOU	Manulife Us Reit
BTP	Baker Technology Limited
BTWZ	Hyflux S$500m6%perpcapsec
BTX	Anchun International Hldgs Ltd
BTY	Full Apex (holdings) Limited
BUOU	Frasers Logistics & Ind Trust
BVA	Top Glove Corporation Bhd
BVP	Aims Property Securities Fund
BVQ	Procurri Corporation Limited
BWCU	Ec World Reit
BWM	China Jinjiang Env Hldg Co Ltd
BXE	Cdw Holding Limited
BYI	Phillip Sgx Apac Div Reit Etf
BYJ	Phillip Sgx Apacdiv Reit Etfs$
BZKS	N517100f 220401
C04	Casa Holdings Limited
C05	Chemical Industries (f.e.) Ltd
C06	Csc Holdings Ltd
C07	Jardine Cycle & Carriage Ltd
C09	City Developments Limited
C13	Ch Offshore Ltd
c29	Chip Eng Seng Corporation Ltd
C2PU	Parkwaylife Reit
C33	Chuan Hup Holdings Limited
C38U	Capitamall Trust
C41	Cortina Holdings Limited
C52	Comfortdelgro Corporation Ltd
C6L	Singapore Airlines Ltd
C70	City Developments Ltd Nccps
C76	Creative Technology Ltd
C8R	Jiutian Chemical Group Limited
C92	China Haida Ltd.
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CDDW	S&p500 2500 Mb Ecw170915
CDVZ	Krisenergy S$139.464mz240131
CDXW	Krisenergy Ltd. W240131
CEDU	Dasin Retail Trust
CFA	Nikkoam-stc Asia_xj Reit Etf
CGN	Best World International Ltd
CGOW	Ta Corporation Ltd W220520
CGP	Noble Group Limited
CHBW	Duty Free Internationalw220513
CHJ	Uni-asia Group Limited
CHZ	Hrnetgroup Limited
CIN	Courage Marine Group Limited
CJLU	Netlink Nbn Trust
CJN	British & Malayan Hldg Limited
CLN	Apac Realty Limited
CLR	Lion-phillip S-reit Etf
CMGS	Nx18100a 280501
CMHS	N518100e 230201
CMOU	Keppel-kbs Us Reit
CNE	Mindchamps Preschool Limited
COI	Nikkoam-stc Asia_xj Reit Us$
CQLW	Marco Polo Marine Ltd. W230129
CRPU	Sasseur Reit
CRWW	Mtq Corporation Limitedw230417
CTO	Hong Lai Huat Group Limited
CUDW	Hsi 7xlongsg230215
CUKW	Dlc Sg5xshorthsc230420
CUUW	Hsi 7xlongsg231215
CVAW	Hsi 7xlongsg240215
CVPW	Dlc Sg5xlongmsg230420
CWAW	Dlc Sg5xlonghsi230420
CWBU	Cromwell Reit Eur
CWCU	Cromwell Reit Sgd
CWEW	Hstech 5xshortsg230216
CXDW	Hstech 5xlongsg230216
CXQW	Dlc Sg5xshorthsi230420
CXRW	Hscei 7xshortsg231215
CY6U	Ascendas India Trust
CYB	Icbc Csop Cgb Etf Us$d
CYC	Icbc Csop Cgb Etf S$
CYFW	Hscei 7xlongsg231215
CYTW	Dlc Sg5xshortmsg230420
CYW	Tricklestar
CZAW	Dlc Sg7xlongmsg230404
CZBW	Dlc Sg7xshorthsi230920
CZCW	Hstech 5xshortsg220602
CZDW	Simsci 7xshortsg231215
CZMW	Hsi 7xshortsg240125
CZPW	Dlc Sg5xlonghsc230420
CZSW	Dlc Sg7xshortmsg230712
D00W	Dlc Sg5xlongpetchina B
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D11	Design Studio Furniture Mfrltd
D5IU	Lippo Malls Indo Retail Trust
D8DU	First Ship Lease Trust
DAAW	Dlc Socgen5xshort Aia
DABW	Dlc Socgen5xshort Venture A
DAEW	Dlc Sg5xshortsunny A
DAFW	Dlc Sg5xlongaac A
DAGW	Alibaba 5xshortsg230202
DAHW	Sunny 5xshortsg220621
DAIW	Lenovo 5xlongsg240215
DALW	Dlc Sg5xlong Aac
DARW	Meituan 5xshortsg231214
DASW	Dlc Sg5xshort Aac
DATW	Aac 5xlongsg231214
DAWW	Dlc Sg5xlong Sunac
DAZW	Dlc Sg5xshortkepcorp A
DBBW	Alihlth 5xshortsg220216
DBCW	Dlc Sg5xshortgeely A
DBDW	Baidu 5xlongsg220511
DBFW	Baidu 5xshortsg220511
DBGW	Aac 5xshortsg220621
DBHW	Venture 5xlongsg230713
DBIW	Lenovo 5xshortsg240215
DBTW	Dlc Sg5xlonggalaxy A
DBYW	Singtel 5xlongsg231214
DCAW	Dbs 5xshortsg220331
DCBW	Pahlth 5xlongsg220621
DCCW	Xiaomi 5xshortsg220705
DCDW	Geely 5xshortsg231214
DCIW	Alibaba 5xshortsg231214
DCJW	Lining 5xlongsg231019
DCKW	Gwmotor 5xlongsg221223
DCLW	Dlc Sg5xlong Citydev
DCMW	Dlc Sg5xshort Alibaba
DCRU	Digicore Reit Usd
DCSW	Dlc Sg5xshort Citydev
DDBW	Dlc Sg5xshortwilmar A
DDCW	Cspc 5xshortsg220315
DDEW	Geely 5xshortsg230126
DDFW	Jdhlth 5xshortsg220307
DDHW	Geely 5xlongsg220621
DDJW	Dlc Socgen5xshort Tencent A
DDLW	Tencent 5xlongsg220808
DDNW	Sands 5xshortsg220315
DDXW	Bydelec 5xlongsg221013
DDZW	Dlc Sg5xshortgeely B
DEBW	Sunny 5xshortsg221215
DEIW	Lenovo 5xshortsg220316
DEUW	Dlc Sg5xlongcitydev A
DEXW	Ganfeng 5xshortsg221223
DEZW	Dlc Sg5xshortuob A
DFBW	Meituan 5xshortsg221215
DFHW	Dlc Socgen5xlong Wilmar
DFJW	Dlc Sg5xshortocbc A
DFQW	Xiaomi 5xlongsg220323
DFSW	Dlc Sg5xshortsunny B
DFVW	Mycloud 5xlongsg220316
DFYW	Dlc Sg5xshort Byd
DGAW	Dlc Sg5xlonggeely A
DGBW	Dlc Sg5xshort Areit
DGCW	Dlc Sg5xshort Galaxy A
DGDW	Cmob 5xlongsg220323
DGEW	Areit 5xshortsg231214
DGFW	Alibaba 5xlongsg220608
DGIW	Clife 5xshortsg220302
DGPW	Bydelec 5xshortsg220608
DGQW	Cnooc 5xlongsg220323
DGRW	Dlc Sg5xlong Sgx
DGSW	Dlc Sg5xshort Sgx
DGVW	Lenovo 5xlongsg220316
DGXW	Bydelec 5xshortsg221013
DGZW	Meituan 5xlongsg221215
DHBW	Uob 5xlongsg230713
DHDW	Dlc Sg5xlong Clife
DHEW	Dlc Sg5xshort Hkex A
DHGW	Dlc Sg5xshortwilmar B
DHJW	Sia 5xshortsg220328
DHLU	Daiwa Hse Log Tr
DHMW	Pingan 5xshortsg230705
DHSW	Dlc Sg5xlong Hsbc A
DHTW	Kuaisho 5xlongsg220621
DHVW	Sinobio 5xshortsg231220
DHZW	Petroch 5xshortsg231012
DIBW	Ckasset 5xshortsg231019
DIHW	Tencent 5xlongsg231214
DINW	Dlc Sg5xlong Byd
DIYW	Hsi 20200mbepw220530
DIZW	Ganfeng 5xlongsg221223
DJAW	Dlc Sg5xlong Cmob
DJBW	Dlc Sg5xshort Jd
DJCW	Dlc Sg5xlong Jd
DJDW	Dlc Sg5xlongjd A
DJFW	Byd 5xlongsg220315
DJHW	Ckasset 5xlongsg231019
DJIW	Xiaomi 5xlongsg221215
DJKW	Bilibili 5xshortsg221223
DJXW	Kuaisho 5xshortsg220307
DKAW	Aac 5xlongsg240201
DKEW	Dlc Sg5xlongkepcorp A
DKJW	Byd 5xshortsg220216
DKKW	Dlc Sg5xlongsia A
DKLW	Sinobio 5xlongsg231220
DKMW	Singtel 5xshortsg230713
DKTW	Sands 5xlongsg221013
DLBW	Galaxy 5xlongsg221013
DLCW	Byd 5xlongsg230202
DLIW	Dlc Sg5xlongsunac A
DLKW	Kingdee 5xlongsg231220
DLSW	Kingsof 5xshortsg231220
DLTW	Hkex 5xshortsg240125
DLYW	Hkex 5xlongsg220302
DM0	Psc Corporation Ltd
DMAW	Dlc Sg5xshort Meituan A
DMBW	Dlc Sg5xlong Alibaba
DMDW	Kingsof 5xlongsg220908
DMEW	Dlc Sg5xlong Meituan
DMFW	Cnooc 5xlongsg240201
DMGW	Meituan 5xlongsg220808
DMIW	Tencent 5xshortsg231214
DMPW	Dlc Socgen5xshort Genting
DMSW	Dlc Sg5xshort Meituan
DMUW	Dlc Sg5xlongocbc A
DNAW	Dlc Sg5xlongnetease A
DNCW	Dlc Sg5xshort Netease
DNDW	Geely 5xlongsg230202
DNEW	Dlc Socgen5xlong Genting
DNFW	Dlc Sg5xlongalibaba A
DNSW	Dlc Sg5xlong Netease
DNXW	Dlc Socgen5xshort Wilmar
DNZW	Dlc Sg5xshort Clife
DOAW	Sunac 5xlongsg220315
DOFW	Cspc 5xlongsg220315
DOIW	Jdhlth 5xlongsg220307
DOJW	Kuaisho 5xlongsg220307
DOOW	Kingdee 5xshortsg231220
DOPW	Dlc Sg5xlong Pahealth
DOZW	Pahlth 5xshortsg220315
DPAW	Kuaisho 5xshortsg230202
DPCW	Pingan 5xshortsg220302
DPEW	Dlc Sg5xshort Shkp
DPWW	Dlc Socgen5xlong Aia
DQAW	Dlc Sg5xlongareit A
DQBW	Dlc Sg5xshort Cmob
DQCW	Cnooc 5xshortsg240201
DQDW	Dlc Socgen5xshort Geely
DQEW	Dbs 5xlongsg230713
DQIW	Citydev 5xlongsg220331
DQMW	Cnooc 5xshortsg220302
DQOW	Genting 5xshortsg220328
DQPW	Pingan 5xlongsg230705
DRAW	Kuaisho 5xlongsg230202
DRGW	Dlc Sg5xlong Shkp
DRWW	Dlc Socgen5xlong Geely
DRX	St Group Food
DSBW	Dlc Socgen5xlong Tencent A
DSCW	Dlc Socgen5xshort Galaxy
DSDW	Dlc Sg5xlongsunny A
DSGW	Cmb 5xshortsg231019
DSHW	Geely 5xshortsg221215
DSIW	Dlc Sg5xlong Sia
DSJW	Xpeng 5xshortsg221223
DSNW	Dlc Sg5xlong Sunny
DSOW	Xiaomi 5xshortsg231214
DSSW	Dlc Sg5xshort Sands
DSTW	Sunny 5xshortsg231214
DSVW	Dlc Sg5xshort Sunny
DTCW	Tencent 5xshortsg230202
DTFW	Dlc Sg5xshortdbs A
DTGW	Sia 5xlongsg230713
DTHW	Byd 5xshortsg231214
DTIW	Hsbc 5xshortsg241213
DTJW	Dlc Sg5xlongcnooc A
DTKW	Mycloud 5xshortsg220316
DTMW	Cmob 5xlongsg250213
DTNW	Dlc Socgen5xlong Galaxy
DTOW	Smoore 5xlongsg220331
DTPW	Petroch 5xshortsg220328
DTQW	Xiaomi 5xlongsg220705
DTRW	Hsi 23800mbepw220225
DTSW	Dlc Sg5xshorttencent B
DTXW	Bilibili 5xlongsg221223
DU4	Mermaid Maritime Public Co Ltd
DUAW	Wuxibio 5xlongsg221020
DUBW	Dlc Sg5xlonggenting A
DUDW	Jd 5xshortsg220908
DUFW	Dlc Sg5xlong Cspc
DUHW	Cmob 5xshortsg250213
DUOW	Bydelec 5xlongsg220608
DUQW	Alihlth 5xlongsg220323
DUXW	Aia 5xshortsg240125
DVAW	Clife 5xlongsg240215
DVBW	Lining 5xshortsg231019
DVCW	Dlc Sg5xshortventure B
DVHW	Bydelec 5xlongsg231220
DVIW	Alibaba 5xlongsg231214
DVOW	Dlc Socgen5xlong Hkex
DVPW	Dlc Sg5xlonggeely B
DVUW	Cosco 5xshortsg221223
DVVW	Dlc Socgen5xshort Hkex
DWAW	Dlc Sg5xshort Cspc
DWBW	Dlc Socgen5xshort Ccb
DWCW	Ccb 5xlongsg240807
DWDW	Wuxibio 5xshortsg221020
DWEW	Clife 5xshortsg240215
DWGW	Aia 5xlongsg241213
DWKW	Cosco 5xlongsg221223
DWNW	Dlc Sg5xshortalibaba A
DWQW	Nongfu 5xlongsg220316
DWTW	Dlc Sg5xshortaac B
DWVW	Clife 5xlongsg220302
DWZW	Kingdee 5xshortsg220216
DXAW	Dlc Sg5xlong Areit
DXBW	Dlc Sg5xshort Xiaomi A
DXDW	Kuaisho 5xlongsg220808
DXGW	Anta 5xshortsg231019
DXHW	Galaxy 5xshortsg221215
DXIW	Citydev 5xshortsg231214
DXKW	Xpeng 5xlongsg221223
DXLW	Dlc Sg5xlong Xiaomi
DXMW	Dlc Socgen5xlong Ccb
DXNW	Smoore 5xshortsg220316
DXSW	Dlc Sg5xshort Xiaomi
DXUW	Dlc Socgen5xshort Yzj
DXZW	Dlc Sg5xlong Alihealth
DYAW	Dlc Socgen5xshort Hsbc
DYDW	Dlc Sg5xshortaac A
DYKW	Dlc Sg5xshortsgx A
DYMW	Dlc Sg5xshort Alihealth
DYYW	Hkex 5xlongsg240125
DZAW	Dlc Sg5xlongpetchina A
DZCW	Galaxy 5xshortsg220328
DZDW	Anta 5xlongsg231019
DZEW	Sands 5xshortsg230202
DZHW	Meituan 5xlongsg220331
DZKW	Gwmotor 5xshortsg221223
DZLW	Dlc Socgen5xlong Hsbc
DZQW	Kingsof 5xshortsg230126
DZWW	Byd 5xshortsg230202
DZXW	Meituan 5xshortsg220216
DZYW	Ccb 5xshortsg231214
E27	Eucon Holding Limited
E28	Frencken Group Limited
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E6R	Samko Timber Limited
E8Z	Roxy-pacific Holdings Limited
E9L	Joyas International Hldgs Ltd
EB5	First Resources Limited
EB7	Ktl Global Limited
EBCW	Meituan Mb Epw220302
EG0	Jes International Holdings Ltd
EH5	United Overseas Australia Ltd
EHG	Econ Healthcare
ELMW	Nky 27000mbecw220311
ELTW	Thaibev 5xshortsg231115
EPZW	Ocbc Bk Mb Ecw220328
EQYW	Tencentmbepw220302
ER0	Ksh Holdings Limited
ERKW	Singtelmbecw220915
ES3	Sti Etf
EUUW	Sia Mb Ecw220915
EVD	Nikkoam-stc Cn Ev Us$
EVS	Nikkoam-stc Cn Ev S$
F03	Food Empire Holdings Limited
F10	F J Benjamin Holdings Ltd
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F1E	Low Keng Huat (singapore) Ltd
F34	Wilmar International Limited
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
FDPW	Ascendasreit Mbecw220315
FIAW	China Real Estate W230726
FOAW	Jd Mb Epw220404
FOUW	Ocbc Bk Mb Ecw220214
FQ7	Jasper Investments Limited
FQJW	Comfortdel Mbecw220315
FRQ	Sing Paincare
FUBW	Gentingsmbecw220429
G07	Great Eastern Hldgs Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G11	Global Tech (hldgs) Limited
G13	Genting Singapore Plc
G1N	Lyxor Etf Msci India 10
G20	Gp Industries Limited
G3B	Dbs Singapore Sti Etf
G41	G. K. Goh Holdings Limited
G50	Grand Banks Yachts Limited
G92	China Aviation Oil(s) Corp Ltd
GAPW	Tencentmbepw220705
GCPR	Stamford Land R1
GDEW	Dlc Socgen7xlongmsg 220225
GFOW	Hsi 24400mbecw220128
GGOW	Yangzijimbecw220315
