Symbol,Description,New Symbols
D8DU,First Ship Lease Trust,D8DU.SI
DCRU,Digicore Reit Usd,DCRU.SI
DGRW,Dlc Sg5xlong Sgx,DGRW
DHLU,Daiwa Hse Log Tr,DHLU.SI
DM0,Psc Corporation Ltd,DM0.SI
DPWW,Dlc Socgen5xlong Aia,DPWW
DRX,St Group Food,DRX
DU4,Mermaid Maritime Public Co Ltd,DU4.SI
DWAW,Dlc Sg5xshort Cspc,DWAW
E27,Eucon Holding Limited,E27.SI
E28,Frencken Group Limited,E28.SI
E3B,Wee Hur Holdings Ltd.,E3B.SI
E5H,Golden Agri-resources Ltd,E5H.SI
E6R,Samko Timber Limited,E6R.SI
E8Z,Roxy-pacific Holdings Limited,E8Z.SI
E9L,Joyas International Hldgs Ltd,E9L.SI
EB5,First Resources Limited,EB5.SI
EB7,Ktl Global Limited,EB7.SI
EG0,Jes International Holdings Ltd,EG0.SI
EH5,United Overseas Australia Ltd,EH5.SI
EHG,Econ Healthcare,EHG
ER0,Ksh Holdings Limited,ER0.SI
ES3,Sti Etf,ES3.SI
EVD,Nikkoam-stc Cn Ev Us$,EVD
EVS,Nikkoam-stc Cn Ev S$,EVS.SI
F03,Food Empire Holdings Limited,F03.SI
F10,F J Benjamin Holdings Ltd,F10.SI
F13,Fu Yu Corporation Ltd,F13.SI
F17,Guocoland Limited,F17.SI
F1E,Low Keng Huat (singapore) Ltd,F1E.SI
F34,Wilmar International Limited,F34.SI
F83,Cosco Corporation (s) Ltd,F83.SI
F86,Cougar Logistics Corpn Ltd,F86.SI
F99,Fraser And Neave Limited,F99.SI
F9D,Boustead Singapore Limited,F9D.SI
FQ7,Jasper Investments Limited,FQ7.SI
FRQ,Sing Paincare,FRQ.SI
G07,Great Eastern Hldgs Ltd,G07.SI
G0I,Nam Lee Pressed Metal Inds Ltd,G0I.SI
G11,Global Tech (hldgs) Limited,G11.SI
G13,Genting Singapore Plc,G13.SI
G1N,Lyxor Etf Msci India 10,G1N.SI
G20,Gp Industries Limited,G20.SI
G3B,Dbs Singapore Sti Etf,G3B.SI
G41,G. K. Goh Holdings Limited,G41.SI
G50,Grand Banks Yachts Limited,G50.SI
G92,China Aviation Oil(s) Corp Ltd,G92.SI
GRE,Uob Ap Grn Reit Us$,GRE
GRN,Uob Ap Grn Reit S$,GRN
GRQ,Don Agro,GRQ.SI
GSD,Gld Sg$,GSD
GU5,China Kunda Tech Holdings Ltd,GU5.SI
H02,Haw Par Corp Ltd,H02.SI
H07,Stamford Land Corporation Ltd,H07.SI
H12,Hotel Royal Ltd,H12.SI
H13,Ho Bee Investment Limited,H13.SI
H15,Hotel Properties Ltd,H15.SI
H18,Hotel Grand Central Ltd,H18.SI
H19,Hwa Hong Corporation Limited,H19.SI
H1N,Lyxor Etf Msci Emerging Mkt 10,H1N.SI
H20,Hoe Leong Corporation Ltd.,H20.SI
H22,Hong Leong Asia Ltd.,H22.SI
H30,Hong Fok Corporation Ltd,H30.SI
H78,Hongkong Land Holdings Limited,H78.SI
HD9,Dbxt Ftse Vietnam Etf 10,HD9.SI
HKB,Amtd Ib Ov,HKB
HMN,Ascott Trust,HMN
HST,Lion-ocbc Sec Hstech S$,HST
i06,Intraco Limited,i06.SI
i07,Isdn Holdings Limited,i07.SI
i11,Ipco Int'l Limited,i11.SI
i15,Isetan (singapore) Ltd,i15.SI
i49,Ifs Capital Limited,i49.SI
I98,Is Msci India 100,I98.SI
IW5,Seroja Investments Limited,IW5.SI
IX2,Pec Ltd.,IX2.SI
J03,Jadason Enterprises Ltd,J03.SI
J17,Jackspeed Corporation Limited,J17.SI
J2T,Hock Lian Seng Holdings Ltd,J2T.SI
